,time,value
176,2000-01-01,421
177,2000-04-01,402
178,2000-07-01,414
179,2000-10-01,500
180,2001-01-01,451
181,2001-04-01,380
182,2001-07-01,416
183,2001-10-01,492
184,2002-01-01,428
185,2002-04-01,408
186,2002-07-01,406
187,2002-10-01,506
188,2003-01-01,435
189,2003-04-01,380
190,2003-07-01,421
191,2003-10-01,490
192,2004-01-01,435
193,2004-04-01,390
194,2004-07-01,412
195,2004-10-01,454
196,2005-01-01,416
197,2005-04-01,403
198,2005-07-01,408
199,2005-10-01,482
200,2006-01-01,438
201,2006-04-01,386
202,2006-07-01,405
203,2006-10-01,491
204,2007-01-01,427
205,2007-04-01,383
206,2007-07-01,394
207,2007-10-01,473
208,2008-01-01,420
209,2008-04-01,390
210,2008-07-01,410
211,2008-10-01,488
212,2009-01-01,415
213,2009-04-01,398
214,2009-07-01,419
215,2009-10-01,488
216,2010-01-01,414
217,2010-04-01,374
